date,swc.d0,swc.d1,swc.d2,swc.d3,swc.d4,swc.d5,swc.d6,swc.d7,swc.d8,swc.d9,swc.d10,swc.d11,swc.d12,swc.d13,swc.d14,swc.d15,swc.d16,swc.d17,swc.d18,swc.d19,swc.d20,swc.d21,swc.d22,swc.d23,swc.d24,swc.d25,swc.d26,swc.d27,swc.d28,swc.d29,swc.d30,swc.d31,swc.d32,swc.d33,swc.d34,swc.d35,swc.d36,swc.d37,swc.d38,swc.d39,swc.d40,swc.d41,swc.d42,swc.d43,swc.d44,swc.d45,swc.d46,swc.d47,swc.d48,swc.d49,swc.d50,swc.d51,swc.d52,swc.d53,swc.d54,swc.d55,swc.d56,swc.d57,swc.d58,swc.d59,swc.d60,swc.d61,swc.d62,swc.d63,swc.d64,swc.d65,swc.d66,swc.d67,swc.d68,swc.d69,swc.d70,swc.d71,swc.d72,swc.d73,swc.d74,swc.d75,swc.d76,swc.d77,swc.d78,swc.d79,swc.d80,swc.d81,swc.d82,swc.d83,swc.d84,swc.d85,swc.d86,swc.d87,swc.d88,swc.d89,swc.d90,swc.d91,swc.d92,swc.d93,swc.d94,swc.d95,swc.d96,swc.d97,swc.d98,swc.d99,swc.d100
8/22/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
8/23/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
8/24/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
8/25/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
8/26/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
8/27/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
8/28/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
8/29/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
8/30/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
8/31/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
9/1/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
9/2/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
9/3/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
9/4/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
9/5/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
9/6/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
9/7/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
9/8/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
9/9/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
9/10/2008,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194,0.12160194
